Au (Gold) - Johnson and Christy 1

wavelength (nm), Re(eps)
203.163, -0.103398
203.003, -0.100375
202.843, -0.0973579
202.683, -0.094346
202.523, -0.0913395
202.363, -0.0883383
202.204, -0.0853424
202.045, -0.0823519
201.886, -0.0793666
201.728, -0.0763867
201.569, -0.0734121
201.411, -0.0704428
201.253, -0.0674787
201.096, -0.06452
200.939, -0.0615666
200.782, -0.0586185
200.625, -0.0556756
200.468, -0.0527381
200.312, -0.0498058
200.156, -0.0468788
200, -0.043957


Au (Gold) - Johnson and Christy 1

wavelength (nm), Re(eps)
1937.5, -189.042
1610.39, -125.351
1393.26, -90.4265
1215.69, -66.2185
1087.72, -51.0496
984.127, -40.2741
892.086, -32.0407
821.192, -25.8113
756.098, -20.6011
704.545, -16.8177
659.574, -13.6482
616.915, -10.6619
582.16, -8.11267
548.673, -5.84213
521.008, -3.94616
496, -2.27829
471.483, -1.7027
450.909, -1.759
430.556, -1.6922
413.333, -1.70216
397.436, -1.6494
381.538, -1.60489
367.953, -1.40063
354.286, -1.23196
342.541, -1.31024
331.551, -1.35529
320.413, -1.2308
310.777, -1.24255
300.971, -1.22742
292.453, -1.30678
284.404, -1.33226
276.169, -1.36651
268.98, -1.34641
261.603, -1.2365
255.144, -1.08044
248.996, -0.891261
242.661, -0.744529
237.094, -0.616896
231.343, -0.551009
226.277, -0.4155
221.429, -0.346329
216.405, -0.233769
211.966, -0.1325
207.358, -0.010416
203.279, 0.138171
199.357, 0.203899
195.276, 0.292524
191.654, 0.295191
187.879, 0.227056


