Ag (Silver) - Johnson and Christy

wavelength (nm), Im(eps)
210.316, 2.29046
210.144, 2.2854
209.972, 2.28037
209.8, 2.27535
209.629, 2.27035
209.458, 2.26537
209.288, 2.26041
209.117, 2.25547
208.947, 2.25055
208.777, 2.24565
208.608, 2.24077
208.439, 2.23591
208.27, 2.23106
208.101, 2.22624
207.932, 2.22143
207.764, 2.21664
207.596, 2.21188
207.429, 2.20713
207.358, 2.20512
207.261, 2.2024
207.094, 2.19768
206.928, 2.19299
206.761, 2.18831
206.595, 2.18366
206.429, 2.17902
206.263, 2.1744
206.097, 2.16979
205.932, 2.16521
205.767, 2.16064
205.603, 2.15609
205.438, 2.15156
205.274, 2.14705
205.11, 2.14255
204.946, 2.13807
204.783, 2.13361
204.62, 2.12917
204.457, 2.12474
204.294, 2.12033
204.132, 2.11594
203.97, 2.11156
203.808, 2.10721
203.647, 2.10286
203.485, 2.09854
203.324, 2.09423
203.279, 2.09301
203.163, 2.08994
203.003, 2.08567
202.843, 2.08141
202.683, 2.07717
202.523, 2.07294
202.363, 2.06873
202.204, 2.06454
202.045, 2.06036
201.886, 2.0562
201.728, 2.05206
201.569, 2.04793
201.411, 2.04382
201.253, 2.03972
201.096, 2.03564
200.939, 2.03157
200.782, 2.02752
200.625, 2.02349
200.468, 2.01947
200.312, 2.01547
200.156, 2.01148
200, 2.0075


Ag (Silver) - Johnson and Christy

wavelength (nm), Im(eps)
1937.5, 6.7584
1610.39, 3.555
1393.26, 2.626
1215.69, 1.58904
1087.72, 0.6236
984.127, 0.55936
892.086, 0.50496
821.192, 0.45816
756.098, 0.31452
704.545, 0.38704
659.574, 0.4483
616.915, 0.49824
582.16, 0.3858
548.673, 0.43032
521.008, 0.3324
496, 0.3093
471.483, 0.2869
450.909, 0.21256
430.556, 0.19696
413.333, 0.2275
397.436, 0.207
381.538, 0.1864
367.953, 0.23198
354.286, 0.2838
342.541, 0.31976
331.551, 0.28186
320.413, 0.63504
310.777, 1.39216
300.971, 2.58352
292.453, 3.22758
284.404, 3.56448
276.169, 3.75342
268.98, 3.78672
261.603, 3.7449
255.144, 3.70538
248.996, 3.63918
242.661, 3.5828
237.094, 3.49952
231.343, 3.47392
226.277, 3.38688
221.429, 3.355
216.405, 3.25984
211.966, 3.18
207.358, 3.09632
203.279, 2.9808
199.357, 2.91156
195.276, 2.8112
191.654, 2.7104
187.879, 2.59368


